report_id,report_type,start_date,end_date,report_content
1,Weekly,2024-04-26,2024-05-02,"Weekly production summary: Total output 34506 liters. Quality metrics within acceptable ranges. Mean quality: 3.55, Std Dev: 0.49. Mean process: 63.24, Std Dev: 11.52. Raw milk volume: 58024 liters."
2,Weekly,2024-05-19,2024-05-25,"Weekly production summary: Total output 31679 liters. Quality metrics within acceptable ranges. Mean quality: 3.48, Std Dev: 0.49. Mean process: 67.9, Std Dev: 10.77. Raw milk volume: 67870 liters."
3,Weekly,2024-08-14,2024-08-20,"Weekly production summary: Total output 36912 liters. Quality metrics within acceptable ranges. Mean quality: 3.45, Std Dev: 0.53. Mean process: 57.68, Std Dev: 9.53. Raw milk volume: 51041 liters."
4,Weekly,2024-05-10,2024-05-16,"Weekly production summary: Total output 33582 liters. Quality metrics within acceptable ranges. Mean quality: 3.52, Std Dev: 0.4. Mean process: 51.38, Std Dev: 9.44. Raw milk volume: 57623 liters."
5,Weekly,2024-08-08,2024-08-14,"Weekly production summary: Total output 33257 liters. Quality metrics within acceptable ranges. Mean quality: 3.4, Std Dev: 0.52. Mean process: 55.46, Std Dev: 8.59. Raw milk volume: 67856 liters."
6,Monthly,2024-06-03,2024-07-02,"Monthly overview: Production increased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.65, Std Dev: 0.49. Mean process: 60.34, Std Dev: 8.58. Raw milk volume: 277236 liters."
7,Monthly,2024-09-26,2024-10-25,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.45, Std Dev: 0.51. Mean process: 54.25, Std Dev: 10.38. Raw milk volume: 299458 liters."
8,Weekly,2024-09-04,2024-09-10,"Weekly production summary: Total output 36924 liters. Quality metrics within acceptable ranges. Mean quality: 3.44, Std Dev: 0.49. Mean process: 56.99, Std Dev: 11.85. Raw milk volume: 61149 liters."
9,Monthly,2024-05-22,2024-06-20,"Monthly overview: Production decreased by 2% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.5, Std Dev: 0.45. Mean process: 64.11, Std Dev: 8.78. Raw milk volume: 244118 liters."
10,Weekly,2024-05-10,2024-05-16,"Weekly production summary: Total output 36224 liters. Quality metrics within acceptable ranges. Mean quality: 3.52, Std Dev: 0.4. Mean process: 53.36, Std Dev: 10.2. Raw milk volume: 53169 liters."
11,Monthly,2024-10-03,2024-11-01,"Monthly overview: Production decreased by 0% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.57, Std Dev: 0.51. Mean process: 59.42, Std Dev: 9.7. Raw milk volume: 279131 liters."
12,Monthly,2024-09-25,2024-10-24,"Monthly overview: Production decreased by 5% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.35, Std Dev: 0.46. Mean process: 57.7, Std Dev: 11.06. Raw milk volume: 295647 liters."
13,Monthly,2024-08-04,2024-09-02,"Monthly overview: Production decreased by 4% compared to last month. Continuous improvement initiatives ongoing. Mean quality: 3.53, Std Dev: 0.41. Mean process: 61.62, Std Dev: 9.61. Raw milk volume: 249615 liters."
14,Weekly,2024-08-07,2024-08-13,"Weekly production summary: Total output 34803 liters. Quality metrics within acceptable ranges. Mean quality: 3.43, Std Dev: 0.53. Mean process: 65.15, Std Dev: 10.93. Raw milk volume: 61850 liters."
15,Weekly,2024-09-05,2024-09-11,"Weekly production summary: Total output 31139 liters. Quality metrics within acceptable ranges. Mean quality: 3.42, Std Dev: 0.48. Mean process: 61.66, Std Dev: 10.98. Raw milk volume: 51501 liters."
16,Weekly,2024-09-19,2024-09-25,"Weekly production summary: Total output 34741 liters. Quality metrics within acceptable ranges. Mean quality: 3.45, Std Dev: 0.49. Mean process: 54.47, Std Dev: 8.8. Raw milk volume: 52614 liters."
