material_id,arrival_date,supplier_name,material_type,quantity,unit,quality_check,remarks
1,2024-08-24T03:56:41,Mountain Dairy,Raw Milk,12483.57,Liters,Failed,"Sample test passed, suitable for processing."
2,2024-06-04T08:14:14,Sunny Meadows,Raw Milk,9308.68,Liters,Passed,"Meets all quality standards, ready for processing."
3,2024-07-12T22:17:53,Dairy Farms Inc.,Raw Milk,13238.44,Liters,Passed,"Sample test passed, suitable for processing."
4,2024-06-06T04:16:42,Highland Farms,Raw Milk,17615.15,Liters,Passed,"Detected contaminants, batch returned."
5,2024-07-12T11:06:14,Hillside Dairy,Other,8829.23,Liters,Failed,"No issues, quality is within standards."
6,2024-09-16T08:17:55,Sunny Meadows,Other,8829.32,Liters,Failed,Quality matches the standards set by the company.
7,2024-05-22T04:35:13,Hillside Dairy,Skim Milk,17896.06,Liters,Passed,High bacterial count detected; returned to supplier.
8,2024-07-04T18:35:22,Mountain Dairy,Skim Milk,13837.17,Liters,Failed,"Meets all quality standards, ready for processing."
9,2024-06-12T08:45:23,Dairy Farms Inc.,Other,7652.63,Liters,Passed,Consistent quality as previous shipments.
10,2024-05-07T07:14:07,Highland Farms,Skim Milk,12712.8,Liters,Failed,"Meets all quality standards, ready for processing."
11,2024-05-29T08:07:47,Sunshine Dairy,Raw Milk,7682.91,Liters,Passed,"Sample test passed, suitable for processing."
12,2024-09-19T02:45:34,Green Valley Dairy,Raw Milk,7671.35,Liters,Passed,High bacterial count detected; returned to supplier.
13,2024-07-04T19:30:59,Green Valley Dairy,Other,11209.81,Liters,Failed,"Quality is good, within standards."
14,2024-07-02T21:10:06,Farm Fresh,Cream,433.6,Liters,Failed,High bacterial count detected; returned to supplier.
15,2024-08-18T06:45:22,Happy Cows,Cream,1375.41,Liters,Passed,"Quality is good, within standards."
16,2024-07-20T18:17:19,Country Milk,Skim Milk,7188.56,Liters,Passed,"No anomalies, quality is consistent."
17,2024-10-02T15:58:28,Dairy Farms Inc.,Cream,4935.84,Liters,Passed,"No anomalies, quality is consistent."
18,2024-07-08T21:33:48,Green Valley Dairy,Raw Milk,11571.24,Liters,Passed,"Meets all quality standards, ready for processing."
19,2024-10-09T04:10:08,Sunshine Dairy,Skim Milk,5459.88,Liters,Passed,"High quality milk, no bacteria detected."
20,2024-07-07T19:46:41,Happy Cows,Other,2938.48,Liters,Passed,Quality matches the standards set by the company.
21,2024-05-19T02:43:28,Hillside Dairy,Skim Milk,17328.24,Liters,Failed,"Meets all quality standards, ready for processing."
22,2024-07-08T13:20:28,Farm Fresh,Cream,8871.12,Liters,Passed,"Detected contaminants, batch returned."
23,2024-07-26T19:57:01,Mountain Dairy,Raw Milk,10337.64,Liters,Passed,"Quality is good, within standards."
24,2024-08-21T20:06:37,Sunny Meadows,Other,2876.26,Liters,Passed,Consistent quality as previous shipments.
25,2024-07-05T02:28:29,Valley Dairy,Other,7278.09,Liters,Failed,"Detected contaminants, batch returned."
26,2024-10-06T03:31:26,Dairy Farms Inc.,Raw Milk,10554.61,Liters,Failed,"No anomalies, quality is consistent."
27,2024-05-13T15:52:14,Green Valley Dairy,Other,4245.03,Liters,Passed,"High quality milk, no bacteria detected."
28,2024-04-22T15:07:27,Sunshine Dairy,Skim Milk,11878.49,Liters,Passed,"Detected contaminants, batch returned."
29,2024-10-16T05:09:14,Mountain Dairy,Skim Milk,6996.81,Liters,Passed,"Quality is good, within standards."
30,2024-07-03T14:33:53,Sunny Meadows,Raw Milk,8541.53,Liters,Failed,"High quality milk, no bacteria detected."
31,2024-04-25T18:46:05,Mountain Dairy,Skim Milk,6991.47,Liters,Failed,"Sample test passed, suitable for processing."
32,2024-05-03T05:57:03,Hillside Dairy,Raw Milk,19261.39,Liters,Passed,"High quality milk, no bacteria detected."
33,2024-09-27T10:56:38,Mountain Dairy,Cream,9932.51,Liters,Passed,"High quality milk, no bacteria detected."
34,2024-08-06T18:16:13,Sunny Meadows,Skim Milk,4711.45,Liters,Failed,"Sample test passed, suitable for processing."
